code,descr,lang_code,is_active,cr_by,cr_dtimes
RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,eng,TRUE,admin,now()
RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,eng,TRUE,admin,now()
RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,eng,TRUE,admin,now()
RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,eng,TRUE,admin,now()
RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,eng,TRUE,admin,now()
RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,eng,TRUE,admin,now()
RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,eng,TRUE,admin,now()
RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,eng,TRUE,admin,now()
RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,eng,TRUE,admin,now()
RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,eng,TRUE,admin,now()
RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,eng,TRUE,admin,now()
RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,eng,TRUE,admin,now()
RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,eng,TRUE,admin,now()
RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,eng,TRUE,admin,now()
RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,eng,TRUE,admin,now()
RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,eng,TRUE,admin,now()
RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,eng,TRUE,admin,now()
RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,eng,TRUE,admin,now()
RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,eng,TRUE,admin,now()
RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,eng,TRUE,admin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,eng,TRUE,admin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,eng,TRUE,admin,now()
RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,eng,TRUE,admin,now()
RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,eng,TRUE,admin,now()
RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,eng,TRUE,admin,now()
reg-ack-template-part,Acknowledgement generated after registration,eng,TRUE,admin,now()
reg-preview-template-part,Preview generated after registration,eng,TRUE,admin,now()
reg-dashboard-template,Dashboard of Registration Client,eng,TRUE,admin,now()
partner-reg-sub-template,partner registration notify subject template,eng,TRUE,admin,now()
partner-status-sub-template,partner status notify subject template,eng,TRUE,admin,now()
partner-apikey-status-sub-template,partner apikey status notify subject template,eng,TRUE,admin,now()
partner-reg-content-template,partner registration notify content template,eng,TRUE,admin,now()
partner-status-content-template,partner status notify content template,eng,TRUE,admin,now()
apikey-status-content-template,partner apikey status notify content template,eng,TRUE,admin,now()
Registration Consent,Consent in Registration Client,eng,TRUE,admin,now()
RPR_PAUSED_FOR_ADD_INFO_EMAIL,Email template requesting for additional info,eng,TRUE,admin,now()
RPR_PAUSED_FOR_ADD_INFO_SMS,Email template requesting for additional info,eng,TRUE,admin,now()
RPR_DUP_UIN_EMAIL_SUB,Registration Failed because you have already Registered,eng,TRUE,admin,now()
RPR_TEC_ISSUE_EMAIL_SUB,Re-Register because there was a Technical Issue,eng,TRUE,admin,now()
