lang_code,id,location_code,holiday_date,holiday_name,holiday_desc,is_active
eng,2000125,KTA,12/1/2019,Sunday - Weekend,Weekend,TRUE
fra,2000126,KTA,12/1/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000127,RBT,12/1/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000128,RBT,12/1/2019,Sunday - Weekend,Weekend,TRUE
fra,2000129,RBT,12/1/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000130,KTA,12/14/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000131,KTA,12/14/2019,Saturday - Weekend,Weekend,TRUE
fra,2000132,KTA,12/14/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000133,RBT,12/14/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000134,RBT,12/14/2019,Saturday - Weekend,Weekend,TRUE
fra,2000135,RBT,12/14/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000136,KTA,12/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000137,KTA,12/15/2019,Sunday - Weekend,Weekend,TRUE
fra,2000138,KTA,12/15/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000139,RBT,12/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000140,RBT,12/15/2019,Sunday - Weekend,Weekend,TRUE
fra,2000141,RBT,12/15/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000142,KTA,12/21/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000143,KTA,12/21/2019,Saturday - Weekend,Weekend,TRUE
fra,2000144,KTA,12/21/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000145,RBT,12/21/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000146,RBT,12/21/2019,Saturday - Weekend,Weekend,TRUE
fra,2000147,RBT,12/21/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000148,KTA,12/22/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000149,KTA,12/22/2019,Sunday - Weekend,Weekend,TRUE
fra,2000150,KTA,12/22/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000151,RBT,12/22/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000152,RBT,12/22/2019,Sunday - Weekend,Weekend,TRUE
fra,2000153,RBT,12/22/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000154,KTA,12/28/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000155,KTA,12/28/2019,Saturday - Weekend,Weekend,TRUE
fra,2000156,KTA,12/28/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000157,RBT,12/28/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000158,RBT,12/28/2019,Saturday - Weekend,Weekend,TRUE
fra,2000159,RBT,12/28/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000160,KTA,12/29/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000161,KTA,12/29/2019,Sunday - Weekend,Weekend,TRUE
fra,2000162,KTA,12/29/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000163,RBT,12/29/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000164,RBT,12/29/2019,Sunday - Weekend,Weekend,TRUE
fra,2000165,RBT,12/29/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000166,KTA,12/7/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000167,KTA,12/7/2019,Saturday - Weekend,Weekend,TRUE
fra,2000168,KTA,12/7/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000169,RBT,12/7/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000170,RBT,12/7/2019,Saturday - Weekend,Weekend,TRUE
fra,2000171,RBT,12/7/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000172,KTA,12/8/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000173,KTA,12/8/2019,Sunday - Weekend,Weekend,TRUE
fra,2000174,KTA,12/8/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000175,RBT,12/8/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000176,RBT,12/8/2019,Sunday - Weekend,Weekend,TRUE
fra,2000177,RBT,12/8/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000178,KTA,5/1/2019,عيد العمال / عيد العمال,عيد وطني,TRUE
eng,2000179,KTA,5/1/2019,Labour Day/May Day,National Holiday,TRUE
fra,2000180,KTA,5/1/2019,Fête du travail / May Day,Fête nationale,TRUE
ara,2000181,RBT,5/1/2019,عيد العمال / عيد العمال,عيد وطني,TRUE
eng,2000182,RBT,5/1/2019,Labour Day/May Day,National Holiday,TRUE
fra,2000183,RBT,5/1/2019,Fête du travail / May Day,Fête nationale,TRUE
ara,2000184,KTA,6/22/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000185,KTA,6/22/2019,Saturday - Weekend,Weekend,TRUE
fra,2000186,KTA,6/22/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000187,RBT,6/22/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000188,RBT,6/22/2019,Saturday - Weekend,Weekend,TRUE
fra,2000189,RBT,6/22/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000190,KTA,6/23/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000191,KTA,6/23/2019,Sunday - Weekend,Weekend,TRUE
fra,2000192,KTA,6/23/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000193,RBT,6/23/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000194,RBT,6/23/2019,Sunday - Weekend,Weekend,TRUE
fra,2000195,RBT,6/23/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000196,KTA,6/29/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000197,KTA,6/29/2019,Saturday - Weekend,Weekend,TRUE
fra,2000198,KTA,6/29/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000199,RBT,6/29/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000200,RBT,6/29/2019,Saturday - Weekend,Weekend,TRUE
fra,2000201,RBT,6/29/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000202,KTA,6/30/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000203,KTA,6/30/2019,Sunday - Weekend,Weekend,TRUE
fra,2000204,KTA,6/30/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000205,RBT,6/30/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000206,RBT,6/30/2019,Sunday - Weekend,Weekend,TRUE
fra,2000207,RBT,6/30/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000208,KTA,6/5/2019,عيد الفطر,عيد وطني,TRUE
eng,2000209,KTA,6/5/2019,Eid al-Fitr,National Holiday,TRUE
fra,2000210,KTA,6/5/2019,Eid al-Fitr,Fête nationale,TRUE
ara,2000211,RBT,6/5/2019,عيد الفطر,عيد وطني,TRUE
eng,2000212,RBT,6/5/2019,Eid al-Fitr,National Holiday,TRUE
fra,2000213,RBT,6/5/2019,Eid al-Fitr,Fête nationale,TRUE
ara,2000214,KTA,7/13/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000215,KTA,7/13/2019,Saturday - Weekend,Weekend,TRUE
fra,2000216,KTA,7/13/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000217,RBT,7/13/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000218,RBT,7/13/2019,Saturday - Weekend,Weekend,TRUE
fra,2000219,RBT,7/13/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000220,KTA,7/14/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000221,KTA,7/14/2019,Sunday - Weekend,Weekend,TRUE
fra,2000222,KTA,7/14/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000223,RBT,7/14/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000224,RBT,7/14/2019,Sunday - Weekend,Weekend,TRUE
fra,2000225,RBT,7/14/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000226,KTA,7/20/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000227,KTA,7/20/2019,Saturday - Weekend,Weekend,TRUE
fra,2000228,KTA,7/20/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000229,RBT,7/20/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000230,RBT,7/20/2019,Saturday - Weekend,Weekend,TRUE
fra,2000231,RBT,7/20/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000232,KTA,7/21/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000233,KTA,7/21/2019,Sunday - Weekend,Weekend,TRUE
fra,2000234,KTA,7/21/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000235,RBT,7/21/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000236,RBT,7/21/2019,Sunday - Weekend,Weekend,TRUE
fra,2000237,RBT,7/21/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000238,KTA,7/27/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000239,KTA,7/27/2019,Saturday - Weekend,Weekend,TRUE
fra,2000240,KTA,7/27/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000241,RBT,7/27/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
